judgment_id,title,roc_date,case_reason,score,source_query_count,source_queries,matched_groups,matched_terms,content_sha256,public_url
"TPHM,114,侵上訴,170,20251028,1",臺灣高等法院 114 年度侵上訴字第 170 號刑事判決,民國 114 年 10 月 28 日,兒童及少年性剝削防制條例等,15,1,器官移植 匯款 中國,organ | cross_border | brokerage | payment | evidence,LINE | 中國 | 交易明細 | 匯款 | 器官移植 | 報酬 | 媒介 | 對價 | 對話紀錄 | 居間 | 帳戶 | 扣案 | 招攬 | 搜索 | 新臺幣 | 證人 | 費用 | 通訊軟體,d876a85fcd30c0484d771d7ebf15bca24df88d98dd05fa47825235ae9023f837,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM,114,%E4%BE%B5%E4%B8%8A%E8%A8%B4,170,20251028,1&ot=in"
"ULDV,112,消債清,2,20230531,2",臺灣雲林地方法院 112 年度消債清字第 2 號民事裁定,民國 112 年 05 月 31 日,清算事件,15,1,肝臟移植 仲介 中國,organ | cross_border | brokerage | payment | evidence,中國 | 仲介 | 新臺幣 | 移植手術 | 肝臟移植 | 費用 | 銀行,87fab059a34c7a823d5ace404d67ff043c0ebe6fc15f770968afda90061ce63a,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=ULDV,112,%E6%B6%88%E5%82%B5%E6%B8%85,2,20230531,2&ot=in"
"TPDM,109,聲判,275,20230829,1",臺灣臺北地方法院 109 年度聲判字第 275 號刑事裁定,民國 112 年 08 月 29 日,聲請交付審判,14,3,器官移植 仲介 中國 | 器官移植 仲介 大陸 | 器官買賣 中國 移植,organ | cross_border | brokerage | provenance_custody | evidence,中國 | 仲介 | 供述 | 器官捐贈 | 器官移植 | 器官買賣 | 大陸 | 證人,f8502d299fb703f2dfee3fc28d7924d3fd39f364d623d0880f61394cb3bca14c,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,109,%E8%81%B2%E5%88%A4,275,20230829,1&ot=in"
"TNDM,111,醫訴,3,20240109,1",臺灣臺南地方法院 111 年度醫訴字第 3 號刑事判決,民國 113 年 01 月 09 日,詐欺等,13,1,器官移植 匯款 中國,organ | cross_border | payment | travel_medical | evidence,LINE | 中國 | 交易明細 | 供述 | 匯款 | 器官移植 | 對話紀錄 | 帳戶 | 扣案 | 搜索 | 新臺幣 | 處方 | 證人 | 銀行,2eed13658ef15a37de3730a2c3f7008f8588a95b60bc7b3631042acb37695d5b,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDM,111,%E9%86%AB%E8%A8%B4,3,20240109,1&ot=in"
"TPHM,113,抗,241,20240207,1",臺灣高等法院 113 年度抗字第 241 號刑事裁定,民國 113 年 02 月 07 日,不服羈押,10,1,器官移植 匯款 中國,organ | cross_border | payment | provenance_custody | evidence,中國 | 匯款 | 器官移植 | 帳戶 | 捐贈者 | 新臺幣 | 移植手術 | 羈押 | 銀行,dd45fb287325a83b14308dc0bcf571b22016ae064958ee4b507613762b628a70,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM,113,%E6%8A%97,241,20240207,1&ot=in"
"TNDV,113,醫,26,20250422,1",臺灣臺南地方法院 113 年度醫字第 26 號民事判決,民國 114 年 04 月 22 日,侵權行為損害賠償,9,1,器官移植 匯款 中國,organ | cross_border | payment | evidence,LINE | 中國 | 匯款 | 器官移植 | 境外 | 大陸 | 帳戶 | 扣案 | 支付 | 新臺幣 | 費用 | 通訊軟體 | 銀行,04ab30d82cd41e9b3b5658f9d067851f0827306a5dcd0d54b8fe9ebb098c2a18,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDV,113,%E9%86%AB,26,20250422,1&ot=in"
"TYDV,114,婚,137,20260423,1",臺灣桃園地方法院 114 年度婚字第 137 號民事判決,民國 115 年 04 月 23 日,離婚等,9,1,器官移植 匯款 中國,organ | cross_border | payment | evidence,中國 | 匯款 | 器官移植 | 對話紀錄 | 支付 | 新臺幣 | 費用 | 通訊軟體,64b3987110a582865afd4315628767c51e0341e19e8eb110ec2efe83d2247e49,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDV,114,%E5%A9%9A,137,20260423,1&ot=in"
"TYDV,114,婚,177,20260423,1",臺灣桃園地方法院 114 年度婚字第 177 號民事判決,民國 115 年 04 月 23 日,離婚等,9,1,器官移植 匯款 中國,organ | cross_border | payment | evidence,中國 | 匯款 | 器官移植 | 對話紀錄 | 支付 | 新臺幣 | 費用 | 通訊軟體,f2ecb5879a480e4b515f04bbb318b851362e121f61c5bda60141a3895d57420d,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDV,114,%E5%A9%9A,177,20260423,1&ot=in"
"KSHM,103,上訴,644,20160120,1",臺灣高等法院 高雄分院 103 年度上訴字第 644 號刑事判決,民國 105 年 01 月 20 日,偽造文書等,0,1,器官移植 匯款 中國,,,f7bcab026d1faa1a2200aaeed28bc1a6a4b040eaca1e99f48dcd7e1ca67ba973,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KSHM,103,%E4%B8%8A%E8%A8%B4,644,20160120,1&ot=in"
"KSHM,103,上訴,645,20160120,1",臺灣高等法院 高雄分院 103 年度上訴字第 645 號刑事判決,民國 105 年 01 月 20 日,偽造文書等,0,1,器官移植 匯款 中國,,,ab1c0e04e7899bb32d37a3430f4aa9fdd5b549c0ade21d41f70a5d8be56ada38,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KSHM,103,%E4%B8%8A%E8%A8%B4,645,20160120,1&ot=in"
"NTDV,105,醫,4,20171130,1",臺灣南投地方法院 105 年度醫字第 4 號民事判決,民國 106 年 11 月 30 日,侵權行為損害賠償,0,1,器官移植 匯款 中國,,,f12dec07282dd6e64529d9d6268f69cc8689ded40840c15487eb3e5c5abccb76,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=NTDV,105,%E9%86%AB,4,20171130,1&ot=in"
"TCDM,105,審簡,1209,20160919,1",臺灣臺中地方法院 105 年度審簡字第 1209 號刑事判決,民國 105 年 09 月 19 日,詐欺,0,2,器官移植 匯款 中國 | 器官買賣 中國 移植,,,318dfb30d2ac3aa300b26dcd4cf3e4f11b3c5a7f085bba0dfe100b4e6a5bb9e3,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDM,105,%E5%AF%A9%E7%B0%A1,1209,20160919,1&ot=in"
"TCDM,105,易,1185,20170302,1",臺灣臺中地方法院 105 年度易字第 1185 號刑事判決,民國 106 年 03 月 02 日,詐欺,0,1,器官移植 仲介 大陸,,,3aeaa075171ab54a7dbbc068c162a09ee9f15e5546542652a4c1d96d246b6d70,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDM,105,%E6%98%93,1185,20170302,1&ot=in"
"TCDM,105,易,711,20170302,1",臺灣臺中地方法院 105 年度易字第 711 號刑事判決,民國 106 年 03 月 02 日,詐欺,0,1,器官移植 仲介 大陸,,,71f0fc33f0a23e6f3f3b78ed96cb6ca9da687d6170cc1348192e428f351be38f,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDM,105,%E6%98%93,711,20170302,1&ot=in"
"TNDV,105,醫,15,20190226,1",臺灣臺南地方法院 105 年度醫字第 15 號民事判決,民國 108 年 02 月 26 日,債務不履行損害賠償,0,1,中山大學附屬第一醫院 移植,,,b34a4e92bef830d1aa4f0747e806390be7cfe84b44f0ac2e8b9c384a78a125a7,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDV,105,%E9%86%AB,15,20190226,1&ot=in"
"TNHM,105,矚上重訴,455,20170217,1",臺灣高等法院 臺南分院 105 年度矚上重訴字第 455 號刑事判決,民國 106 年 02 月 17 日,賄選,0,1,腎臟移植 仲介 中國,,,e8867c505d48f65f451d024bd08c9971f3cccecb646e21d6ae172e420b8a995b,"https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNHM,105,%E7%9F%9A%E4%B8%8A%E9%87%8D%E8%A8%B4,455,20170217,1&ot=in"
